Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,100,350
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,98,350
Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,97,100
Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Shiraz,7,27,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,95,85
Yeringberg 2013 Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Viognier,1,3,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,92,60
Ben Haines 2015 B Minor Marsanne-Roussanne (Goulburn Valley),Victoria,Yarra Valley,Northcote,19,88.25,Marsanne-Roussanne,2,2,Ben Haines,90,"15B Ellesmere Street, Northcote Vic 3070, Australia",145.00726,-37.77341,87,25
Strathewen Hills 2005 Cabernet Sauvignon (Yarra Valley),Victoria,Yarra Valley,Strathewen,19,88.25,Cabernet Sauvignon,3,6,Strathewen Hills,90,"1090 Strathewen Road, Strathewen VIC 3099, Australia",145.27125,-37.53614,89,30
Marquee 2008 Signature Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,88,15
Marquee 2008 Classic Chardonnay (Victoria),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,86,12
Yering Station 2006 Reserve Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,88,60
Innocent Bystander 2011 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,14
Taltarni 2004 Cabernet Sauvignon (Pyrenees),Victoria,Pyrenees,Moonambel ,2,88.57,Cabernet Sauvignon,1,6,Taltarni,89.6,"339 Taltarni Road, Moonambel, Vic 3478 ",143.2737355,-36.9681523,89,32
Sticks 2008 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen,19,88.25,Chardonnay,11,16,Sticks,87.5,"206 Yarraview Road, Yarra Glen, Vic 3775",145.3695467,-37.6542231,90,21
Mitchelton 2002 Print Shiraz (Central Victoria),Victoria,Nagambie Lakes,Nagambie,3,88.07,Shiraz,2,27,Mitchelton,89," 470 Mitchellstown Rd, Nagambie VIC 3608",145.097015,-36.853599,89,35
De Bortoli 2006 Estate Grown Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,82,41
Giant Steps 2006 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,82,30
Yering Station 2000 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Chardonnay,11,16,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,85,20
Giant Steps 2014 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,92,42
Mount Langi Ghiran 2006 Riesling (Victoria),Victoria,Grampians,Buangor,2,89.33,Riesling,1,2,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,91,21
Marquee 2006 Signature Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Marquee,85.67,"878-880 Maroondah Hwy, Coldstream VIC 3770",145.4095563,-37.7061012,83,15
